code,title,image_url,page_url,views,date_scraped
MIDD-897-RM,Miku cute peeing pleasure than the first [Uncensored L**ked],https://pic.javct.net/poster/06032026/1775210925.jpg,https://javct.net/v/midd-897-rm,120,2026-06-28
MMRAA-377,Dream Of A Glimpse/Shimizu Renka,https://pic.javct.net/poster/05192026/1c1fa13a99.jpg,https://javct.net/v/mmraa-377,70,2026-06-28
MBRAA-342,Are You Going To Do It This Far?! / Hinano Uchida,https://pic.javct.net/poster/05192026/7d84a6ad32.jpg,https://javct.net/v/mbraa-342,70,2026-06-28
MBRAA-344,Chicksp! / Mizushima Yuzuki,https://pic.javct.net/poster/05192026/08cb9152a3.jpg,https://javct.net/v/mbraa-344,70,2026-06-28
MMRAA-381,Pure Chronicle/Kamijo Reika,https://pic.javct.net/poster/05192026/9b0f8c221f.jpg,https://javct.net/v/mmraa-381,70,2026-06-28
MMRAA-379,"You, Teenager, Premonition Of Love/Tsumugi Shinomiya",https://pic.javct.net/poster/05192026/073f48a03b.jpg,https://javct.net/v/mmraa-379,70,2026-06-28
MMRAA-380,Cosplay! Fall In Love! / Aikawa Misora,https://pic.javct.net/poster/05192026/a57fdea713.jpg,https://javct.net/v/mmraa-380,70,2026-06-28
MMRAA-376,Switch Of Desire/Hanabi Suzuno,https://pic.javct.net/poster/05192026/3c4ea1e509.jpg,https://javct.net/v/mmraa-376,70,2026-06-28
MMRAA-378,18 Kyun! / Nagisa First Flower,https://pic.javct.net/poster/05192026/e327b7f8d5.jpg,https://javct.net/v/mmraa-378,70,2026-06-28
MBRAA-343,See-Through Love/Ando Tsukina,https://pic.javct.net/poster/05192026/117398ecd5.jpg,https://javct.net/v/mbraa-343,70,2026-06-28
FC2PPV-4922638,"[Luxurious 4 shots] A beautiful girl who wants to be an innocent idol shows off her beautiful figure on her day off from idol lessons. She is alternately pressed by an old man, gives a sweet deep kiss, inserts his raw cock, and unexpectedly cums 4 times in a row.",https://pic.javct.net/poster/05192026/92fa1103be.jpg,https://javct.net/v/fc2ppv-4922638,104,2026-06-28
MOSJ-024-RM,"I Was Sexually Harassed And Toyed With By A Scumbag, But I Still Felt It.../Mirina Kato [Uncensored L**ked]",https://pic.javct.net/poster/05192026/9adbdae9da.jpg,https://javct.net/v/mosj-024-rm,101,2026-06-28
OFES-048-RM,"Arai Rima, A Gal Idol Who Gives Amazing Fan Service, Gives Deep Throat Blowjobs And Facial Cum Showers, And Has An Off-camera Sex Photoshoot. [Uncensored L**ked]",https://pic.javct.net/poster/05192026/34f6e84676.jpg,https://javct.net/v/ofes-048-rm,150,2026-06-28
ZSKG-022,A Beautiful Woman Being Toyed With - Her Body Is Relentlessly Groped Until She Becomes Obedient / Kuroki Tsuna,https://pic.javct.net/poster/05192026/a5e4b6ed6a.jpg,https://javct.net/v/zskg-022,0,2026-06-28
NAAC-068,Best Naked / Aoi Aosaka,https://pic.javct.net/poster/05192026/b139272914.jpg,https://javct.net/v/naac-068,136,2026-06-28
NAAC-065,Best Naked 02 / Sora Shinkawa,https://pic.javct.net/poster/05192026/390cfc22ef.jpg,https://javct.net/v/naac-065,145,2026-06-28
MBDD-2175,Lapis Lazuli ~Lapis Lazuli Angel~/Kitaoka Karin,https://pic.javct.net/poster/05192026/21f1e7aa70.jpg,https://javct.net/v/mbdd-2175,101,2026-06-28
MBDD-2174,Eden ~A Bright Relationship~/Kanon Urara,https://pic.javct.net/poster/05192026/f17cbfcbb0.jpg,https://javct.net/v/mbdd-2174,99,2026-06-28
NAAC-066,Best Naked / Rio Kuriyama,https://pic.javct.net/poster/05192026/6bf5515c9b.jpg,https://javct.net/v/naac-066,106,2026-06-28
MBDD-2182,Shanti/Mami Zenba,https://pic.javct.net/poster/05192026/83e2b921c6.jpg,https://javct.net/v/mbdd-2182,0,2026-06-28
NAAC-064,Best Naked 03 / Marina Yakuno,https://pic.javct.net/poster/05192026/7a9ea3ca53.jpg,https://javct.net/v/naac-064,103,2026-06-28
SONE-561-SUB,"S1 20th Anniversary Special: The Strongest Tag Team In The History Of The AV Industry, SUPER VVVIP Orgy PARTY, Licking, Inserting, Cumming, A Miraculous Dream Collaboration In An Extraordinary World, Sayaka Kawakita, Kiho Kanamatsu, Ai Hongo, Yu Tanno, Miyu Kohinata, Nanami Kodama, Moe Sakakibara, Momoka Kagura, Ren Gojo [English Subtitle]",https://pic.javct.net/poster/20250903/1743705478.jpg,https://javct.net/v/sone-561-sub,130,2026-06-28
FC2PPV-4923369,[No] Top secret video of a former gravure idol with huge breasts having sex all day long Ana Kawai [High resolution with bonus] [24 hours limited sale],https://pic.javct.net/poster/05192026/974ba18e3d.jpg,https://javct.net/v/fc2ppv-4923369,132,2026-06-28
OFES-048,"Arai Rima, A Gal Idol Who Gives Amazing Fan Service, Gives Deep Throat Blowjobs And Facial Cum Showers, And Has An Off-camera Sex Photoshoot.",https://pic.javct.net/poster/05192026/34f6e84676.jpg,https://javct.net/v/ofes-048,150,2026-06-28
