code,title,size,image_url,torrent_url,tags,actresses,date,page_url
ATYA043,ドエロ妻、本能に従い浮気する肉食すぎて旦那さんだけでは無理…変態絶倫おじたちと濃厚交尾 友田彩也香,5.7 GB,https://pics.dmm.co.jp/mono/movie/adult/atya043/atya043pl.jpg,https://onejav.com/torrent/atya043/download/40374276/onejav.com_atya043.torrent,"3P, 4P, Married Woman, Mature Woman, Slender, Solowork",Ayaka Tomoda,2026-06-13,https://onejav.com/torrent/atya043
XVSR878,超濃交 終わらない中出し搾取乱交SEX 友田彩也香 天馬ゆい 似鳥日菜,4.1 GB,https://pics.dmm.co.jp/mono/movie/adult/xvsr878/xvsr878pl.jpg,https://onejav.com/torrent/xvsr878/download/08495821/onejav.com_xvsr878.torrent,"3P, 4P, Big Tits, Creampie, Kiss, Slender","Ayaka Tomoda, 天馬ゆい, 似鳥日菜",2026-05-30,https://onejav.com/torrent/xvsr878
NSFS480,新・償い23 ～許されるため妻は身体を差し出した～ 友田彩也香,3.6 GB,https://pics.dmm.co.jp/mono/movie/adult/nsfs480/nsfs480pl.jpg,https://onejav.com/torrent/nsfs480/download/06078694/onejav.com_nsfs480.torrent,"Affair, Drama, Married Woman, Mature Woman, Solowork",Ayaka Tomoda,2026-05-23,https://onejav.com/torrent/nsfs480
MGMJ084,友田さんのパンスト脚がエロ過ぎて脳みそがとろけそう 友田彩也香,5.8 GB,https://pics.dmm.co.jp/mono/movie/adult/mgmj084/mgmj084pl.jpg,https://onejav.com/torrent/mgmj084/download/71301998/onejav.com_mgmj084.torrent,"Blow, Footjob, Leg Fetish, Pantyhose, Slut, Solowork",Ayaka Tomoda,2026-05-16,https://onejav.com/torrent/mgmj084
RCTD726,究極の妄想お仕事シリーズ ディープキス歯科クリニック8 友田彩也香,5.0 GB,https://pics.dmm.co.jp/mono/movie/adult/1rctd726/1rctd726pl.jpg,https://onejav.com/torrent/rctd726/download/17060977/onejav.com_rctd726.torrent,"Hospital, Clinic, Kiss, Other Fetish, Slut, Solowork, Various Professions",Ayaka Tomoda,2026-03-28,https://onejav.com/torrent/rctd726
MXGS1411,夫を裏切った代償-元上司の手に堕ちていく人妻- 友田彩也香,5.1 GB,https://pics.dmm.co.jp/mono/movie/adult/h_068mxgs1411/h_068mxgs1411pl.jpg,https://onejav.com/torrent/mxgs1411/download/59241608/onejav.com_mxgs1411.torrent,"Married Woman, Solowork",Ayaka Tomoda,2025-12-16,https://onejav.com/torrent/mxgs1411
RCTD697,指示どおりにシコってテンカウントで射精しなさい！ 究極JOI マスターベーションインストラクションSP4,5.1 GB,https://pics.dmm.co.jp/mono/movie/adult/1rctd697/1rctd697pl.jpg,https://onejav.com/torrent/rctd697/download/08542395/onejav.com_rctd697.torrent,"BIGセール, Dirty Words, Masturbation Support, M男, Other Fetish, Planning, Various Professions","Ayaka Tomoda, 十束るう, Emi Nishino",2025-10-16,https://onejav.com/torrent/rctd697
MXGS1399,夫の部下に言い寄られ…自宅で裏切りのNTR 友田彩也香,5.1 GB,https://pics.dmm.co.jp/mono/movie/adult/h_068mxgs1399/h_068mxgs1399pl.jpg,https://onejav.com/torrent/mxgs1399/download/11661907/onejav.com_mxgs1399.torrent,"Solowork, Subordinates, Colleagues",Ayaka Tomoda,2025-09-16,https://onejav.com/torrent/mxgs1399
OKK098,友田彩也香 濡れてテカってピッタリ密着 神競泳水着 可愛い女子の競泳水着姿をじっとりと堪能！着替え盗撮から始まり貧乳から巨乳にパイパン、ハミ毛、ジョリワキ等のフェチ接写やローションソーププレイや競泳水着ぶっかけ等を完全着衣で楽しむAV,4.0 GB,https://pics.dmm.co.jp/mono/movie/adult/1okk098/1okk098pl.jpg,https://onejav.com/torrent/okk098/download/92126345/onejav.com_okk098.torrent,"Beautiful Girl, Bukkake, Close Up, Lotion, School Swimsuit, Solowork, Voyeur",Ayaka Tomoda,2025-09-01,https://onejav.com/torrent/okk098
MFYD036,ビアンマネージャーと現役アイドル、白日に晒されたレズビアンスキャンダル。 西元めいさ 友田彩也香,6.5 GB,https://pics.dmm.co.jp/mono/movie/adult/mfyd036/mfyd036pl.jpg,https://onejav.com/torrent/mfyd036/download/71749192/onejav.com_mfyd036.torrent,"Beautiful Girl, Drama, Idol, Lesbian Kiss","Meisa Nishimoto, Ayaka Tomoda",2025-08-15,https://onejav.com/torrent/mfyd036
