code,title,size,image_url,torrent_url,tags,actresses,date,page_url
JUR264,投稿実話 妻がまわされた。水戸かな（後編） ～屈辱で真っ赤に濡れた白き肉体～,5.5 GB,https://pics.dmm.co.jp/mono/movie/adult/jur264/jur264pl.jpg,https://onejav.com/torrent/jur264/download/47687859/onejav.com_jur264.torrent,"Breasts, Humiliation, Married Woman, Mature Woman, Solowork, Various Professions",Kana Mito,2026-09-17,https://onejav.com/torrent/jur264
NSFS509,投稿実話 妻がまわされた ～屈辱で真っ赤に濡れた白き肉体～ 水戸かな（前編）ながえSTYLE×マドンナ特別コラボ作品,3.4 GB,https://pics.dmm.co.jp/mono/movie/adult/nsfs509/nsfs509pl.jpg,https://onejav.com/torrent/nsfs509/download/89348943/onejav.com_nsfs509.torrent,"Drama, Married Woman, Mature Woman, Solowork",Kana Mito,2026-09-05,https://onejav.com/torrent/nsfs509
JUR736,「ほんとは無理やりヤラれてるんだよね…？」 僕が密かに想いを寄せてた叔母・かなさんは既に近所のオヤジにメス堕ちさせられてた…。 未亡人BSS ～一周忌に気持ちを伝えるはずがとっくに寝取られていた。～,3.4 GB,https://pics.dmm.co.jp/mono/movie/adult/jur736/jur736pl.jpg,https://onejav.com/torrent/jur736/download/88445458/onejav.com_jur736.torrent,"Aunt, Cuckold, Mature Woman, Slender, Solowork, Widow",Kana Mito,2026-06-19,https://onejav.com/torrent/jur736
JUR721,専属100作品記念！！ 大人の隠れ家で過ごす二人だけの世界ー。水戸かなと1泊2日のグランピング不倫,6.6 GB,https://pics.dmm.co.jp/mono/movie/adult/jur721/jur721pl.jpg,https://onejav.com/torrent/jur721/download/46894867/onejav.com_jur721.torrent,"Affair, Creampie, Documentary, Married Woman, Mature Woman, Solowork",Kana Mito,2026-05-22,https://onejav.com/torrent/jur721
JUR681,清掃員NTR ～僕とは馬力が違うと豪語する、体育会系のクソ男にハメられて無尽蔵のハードFUCKで寝取られた妻～ 水戸かな,5.1 GB,https://pics.dmm.co.jp/mono/movie/adult/jur681/jur681pl.jpg,https://onejav.com/torrent/jur681/download/41091917/onejav.com_jur681.torrent,"Cuckold, Married Woman, Mature Woman, Shame, Solowork, Various Professions",Kana Mito,2026-04-29,https://onejav.com/torrent/jur681
JUR639,麗しきランジェリー、唾液と精液で汚れた酬いの人妻保険外交員 水戸かな,7.8 GB,https://pics.dmm.co.jp/mono/movie/adult/jur639/jur639pl.jpg,https://onejav.com/torrent/jur639/download/91522994/onejav.com_jur639.torrent,"Creampie, Kiss, Lingerie, Married Woman, Mature Woman, Solowork",Kana Mito,2026-03-20,https://onejav.com/torrent/jur639
JUR620,「アンタの奥さん、最高だったよ」 3ヶ月で辞めた新入社員の退職届に書かれた想定外のNTR話 水戸かな,6.1 GB,https://pics.dmm.co.jp/mono/movie/adult/jur620/jur620pl.jpg,https://onejav.com/torrent/jur620/download/51431830/onejav.com_jur620.torrent,"Creampie, Cuckold, Married Woman, Mature Woman, OL, Solowork",Kana Mito,2026-02-20,https://onejav.com/torrent/jur620
URE130,FANZA同人サイトで12万DL越え！！ 原作:mamaya バ先のパート主婦（41）を家に連れ込んだら10年ぶりの汗だく本気セックスで巨乳首ビン勃ち放尿アクメした話 欲求不満な人妻を快楽堕ち！！流され絶頂FUCK！！ 水戸かな,6.4 GB,https://pics.dmm.co.jp/mono/movie/adult/ure130/ure130pl.jpg,https://onejav.com/torrent/ure130/download/78845072/onejav.com_ure130.torrent,"Acme · Orgasm, Married Woman, Mature Woman, Original Collaboration, Solowork, Urination",Kana Mito,2026-01-23,https://onejav.com/torrent/ure130
JUR556,姑の陰湿な嫁いびりの果て―新しく出来た母・かなさんは僕の眼前にて輪●されました。,5.8 GB,https://pics.dmm.co.jp/mono/movie/adult/jur556/jur556pl.jpg,https://onejav.com/torrent/jur556/download/58001186/onejav.com_jur556.torrent,"3P, 4P, Creampie, Humiliation, Married Woman, Mature Woman","Kana Mito, 葵百合香",2025-12-19,https://onejav.com/torrent/jur556
JUR512,女教師NTR 不良生徒に最愛の妻を寝取られてー。 水戸かな,5.8 GB,https://pics.dmm.co.jp/mono/movie/adult/jur512/jur512pl.jpg,https://onejav.com/torrent/jur512/download/17944061/onejav.com_jur512.torrent,"Breasts, Cuckold, Female Teacher, Married Woman, Mature Woman, Solowork",Kana Mito,2025-11-21,https://onejav.com/torrent/jur512
