code,title,size,image_url,torrent_url,tags,actresses,date,page_url
JUR740,バスタイム家庭内不倫 ～弟が来てから風呂好きの妻がより長風呂になった…。～ 白石茉莉奈,5.5 GB,https://pics.dmm.co.jp/mono/movie/adult/jur740/jur740pl.jpg,https://onejav.com/torrent/jur740/download/52034146/onejav.com_jur740.torrent,"Bath, Big Tits, Creampie, Married Woman, Mature Woman, Solowork",Marina Shiraishi,2026-07-10,https://onejav.com/torrent/jur740
ADN777,あなた、許して…。 迷い妻2,5.5 GB,https://pics.dmm.co.jp/mono/movie/adult/adn777/adn777pl.jpg,https://onejav.com/torrent/adn777/download/54059191/onejav.com_adn777.torrent,"Affair, Big Tits, Creampie, Cuckold, Married Woman, Solowork",Marina Shiraishi,2026-05-29,https://onejav.com/torrent/adn777
JUR673,「義母さん、子供が欲しいんでしょ？」 淡白な夫の単身赴任中、私は性欲旺盛な連れ子の和也君に種付け中出しされ続けました…。,5.8 GB,https://pics.dmm.co.jp/mono/movie/adult/jur673/jur673pl.jpg,https://onejav.com/torrent/jur673/download/91984762/onejav.com_jur673.torrent,"Big Tits, Creampie, Married Woman, Mature Woman, Solowork, Stepmother",Marina Shiraishi,2026-05-08,https://onejav.com/torrent/jur673
JUR638,高級クラブの人妻、太客の汗と体液にまみれた、閉店後中出し枕営業―。 白石茉莉奈,6.6 GB,https://pics.dmm.co.jp/mono/movie/adult/jur638/jur638pl.jpg,https://onejav.com/torrent/jur638/download/79824595/onejav.com_jur638.torrent,"Creampie, Kimono, Yukata, Married Woman, Mature Woman, Prostitutes, Solowork",Marina Shiraishi,2026-04-10,https://onejav.com/torrent/jur638
ACHJ081,超’攻撃的’痴女×完全主観×バイノーラル 専属イイオンナが見下し主観で極限まで淫語責めする M男専用・絶頂支配オナニーコントロールJOI 白石茉莉奈,9.2 GB,https://pics.dmm.co.jp/mono/movie/adult/achj081/achj081pl.jpg,https://onejav.com/torrent/achj081/download/21852390/onejav.com_achj081.torrent,"Dirty Words, Married Woman, Mature Woman, Slut, Solowork, Subjectivity",Marina Shiraishi,2026-03-06,https://onejav.com/torrent/achj081
JUR573,『週3日、妻とSEXをしている。』と自慢してきた友人から週5日、毎回4発、合計20発中出ししてそいつの妻を寝取ってやった。 白石茉莉奈,6.2 GB,https://pics.dmm.co.jp/mono/movie/adult/jur573/jur573pl.jpg,https://onejav.com/torrent/jur573/download/25239414/onejav.com_jur573.torrent,"Big Tits, Creampie, Cuckold, Married Woman, Mature Woman, Solowork",Marina Shiraishi,2026-02-06,https://onejav.com/torrent/jur573
JUR535,毎晩旦那とヤリまくる絶倫叔母と一泊二日の搾精旅行 ヌカれまくって性に目覚めた童貞の僕は… すべて忘れて連続中出し交尾にハマってしまった。 白石茉莉奈,5.1 GB,https://pics.dmm.co.jp/mono/movie/adult/jur535/jur535pl.jpg,https://onejav.com/torrent/jur535/download/06401450/onejav.com_jur535.torrent,"Big Tits, Hot Spring, Married Woman, Mature Woman, Slut, Solowork",Marina Shiraishi,2026-01-09,https://onejav.com/torrent/jur535
JUR513,背徳の寝取らせシアタールーム 低俗男たちの醜い肉棒で汚された貞淑妻ー。 白石茉莉奈,6.3 GB,https://pics.dmm.co.jp/mono/movie/adult/jur513/jur513pl.jpg,https://onejav.com/torrent/jur513/download/94326157/onejav.com_jur513.torrent,"3P, 4P, Cuckold, Married Woman, Mature Woman, Shame, Solowork",Marina Shiraishi,2025-12-05,https://onejav.com/torrent/jur513
JUR418,お宅訪問ロケに出演しただけなのに…憧れの白石さん家の奥さんがオナニー狂いだと近所中にバレて中年オヤジたちの性玩具にされた話。 白石茉莉奈,5.0 GB,https://pics.dmm.co.jp/mono/movie/adult/jur418/jur418pl.jpg,https://onejav.com/torrent/jur418/download/70098731/onejav.com_jur418.torrent,"Big Tits, Creampie, Married Woman, Mature Woman, Shame, Solowork",Marina Shiraishi,2025-10-10,https://onejav.com/torrent/jur418
JUR369,ハプニングバー人妻NTR 「あなたのためよ…」と言っていた妻がいつしか群がる男たちに夢中になっていた。 白石茉莉奈 藤井レイラ,7.5 GB,https://pics.dmm.co.jp/mono/movie/adult/jur369/jur369pl.jpg,https://onejav.com/torrent/jur369/download/13036668/onejav.com_jur369.torrent,"Big Tits, Creampie, Cuckold, Married Woman, Mature Woman","Marina Shiraishi, 藤井レイラ",2025-08-08,https://onejav.com/torrent/jur369
