code,title,size,image_url,torrent_url,tags,actresses,date,page_url
SNOS236,エロエロな巨女 180cm超大型美女に見下ろされ、からかわれ、13発もヌカれちゃった恥ずかしい僕。 明日葉みつは,4.3 GB,https://pics.dmm.co.jp/mono/movie/adult/snos236/snos236pl.jpg,https://onejav.com/torrent/snos236/download/89133561/onejav.com_snos236.torrent,"Handjob, M男, Slender, Slut, Solowork, Tall",Mitsuha Ashitaba,2026-06-05,https://onejav.com/torrent/snos236
SNOS164,全裸より恥ずかしい… 布面積0.1％のファッションモデル 明日葉みつは,4.2 GB,https://pics.dmm.co.jp/mono/movie/adult/snos164/snos164pl.jpg,https://onejav.com/torrent/snos164/download/47392696/onejav.com_snos164.torrent,"Cuckold, Drama, Humiliation, Married Woman, Model, Solowork",Mitsuha Ashitaba,2026-05-08,https://onejav.com/torrent/snos164
PFES133,上京したて女学生が電車通学で揉まれまくってまさかの痴●師にベタ惚れ、発情むさぼり合いSEX 明日葉みつは,5.1 GB,https://pics.dmm.co.jp/mono/movie/adult/pfes133/pfes133pl.jpg,https://onejav.com/torrent/pfes133/download/77375193/onejav.com_pfes133.torrent,"Acme · Orgasm, Kiss, School Girls, Slender, Solowork, Squirting",Mitsuha Ashitaba,2026-03-27,https://onejav.com/torrent/pfes133
SNOS074,毎月末ウチの旅館に泊まる美人OLさん。 我慢できずお風呂のぞくと…こっちに気付いて手足の長～い長身裸体を見せつけ誘惑！ 人生一興奮した僕は彼女が宿泊中、ずっと神ボディにハメ続けた。 明日葉みつは,6.0 GB,https://pics.dmm.co.jp/mono/movie/adult/snos074/snos074pl.jpg,https://onejav.com/torrent/snos074/download/42887729/onejav.com_snos074.torrent,"Hot Spring, Leg Fetish, Slut, Solowork, Tall, Voyeur",Mitsuha Ashitaba,2026-02-06,https://onejav.com/torrent/snos074
SNOS030,わたし、教え子たちに逆らえず 身動き取れない状態で飼われています。 明日葉みつは,5.0 GB,https://pics.dmm.co.jp/mono/movie/adult/snos030/snos030pl.jpg,https://onejav.com/torrent/snos030/download/14351832/onejav.com_snos030.torrent,"Deep Throating, Female Teacher, Nasty, Hardcore, Orgy, Restraint, Solowork",Mitsuha Ashitaba,2026-01-09,https://onejav.com/torrent/snos030
OFJE590,絶対ヌケるS1女優の絶頂映像！性感覚醒おもちゃ責め、掻き回し手マン、巨根突きFUCK 全AV史上最もイキまくるア・ク・メ90選,16.7 GB,https://pics.dmm.co.jp/mono/movie/adult/ofje590/ofje590pl.jpg,https://onejav.com/torrent/ofje590/download/85632727/onejav.com_ofje590.torrent,"4HR+, Acme · Orgasm, Big Tits, Idol, Nasty, Hardcore, Squirting","瀬戸環奈, 神楽ももか, 田野憂, 河北彩伽, 榊原萌, 三田真鈴, Mitsuha Ashitaba, 兒玉七海, 川越にこ, 村上悠華, ▼すべて表示する",2026-01-04,https://onejav.com/torrent/ofje590
OFJE594,S1オールスター23名大集合 全7タイトル全部入り 完全ベスト版16時間 未公開の40人越え乱交初収録,39.9 GB,https://pics.dmm.co.jp/mono/movie/adult/ofje594/ofje594pl.jpg,https://onejav.com/torrent/ofje594/download/41687038/onejav.com_ofje594.torrent,"4HR+, Best, Omnibus, Big Tits, Harem, Orgy","河北彩伽, Yume Nikaidou, 金松季歩, 田野憂, Fuua Kaede, Mitsuha Ashitaba, Nana Miho, 川越にこ, 白上咲花, 渚あいり, ▼すべて表示する",2025-12-26,https://onejav.com/torrent/ofje594
SNOS006,憧れの美人秘書が社長に犯●れているのを目撃！！ 絶対に許せない！！と思ったのに…勃起が収まらず、おこぼれSEXさせてもらう最低な僕。 明日葉みつは,6.4 GB,https://pics.dmm.co.jp/mono/movie/adult/snos006/snos006pl.jpg,https://onejav.com/torrent/snos006/download/97571743/onejav.com_snos006.torrent,"Cuckold, Drama, Nasty, Hardcore, Secretary, Slender, Solowork",Mitsuha Ashitaba,2025-12-05,https://onejav.com/torrent/snos006
SONE979,毎日アパートの廊下ですれ違う清楚可憐な女子大生の裏顔は大量媚薬に漬けられたガンギマリ発情娘 明日葉みつは,4.8 GB,https://pics.dmm.co.jp/mono/movie/adult/sone979/sone979pl.jpg,https://onejav.com/torrent/sone979/download/37786495/onejav.com_sone979.torrent,"Acme · Orgasm, Nasty, Hardcore, Rolling Back Eyes, Fainting, Solowork, Squirting, Sweat",Mitsuha Ashitaba,2025-11-07,https://onejav.com/torrent/sone979
SONE923,息子の保育士さんは気遣いの女性… そして父兄から迫られると 断りきれずヤラせちゃう女… 明日葉みつは,6.0 GB,https://pics.dmm.co.jp/mono/movie/adult/sone923/sone923pl.jpg,https://onejav.com/torrent/sone923/download/29665192/onejav.com_sone923.torrent,"Affair, Drama, Kiss, Slender, Solowork, Tall",Mitsuha Ashitaba,2025-10-10,https://onejav.com/torrent/sone923
