code,title,size,image_url,torrent_url,tags,actresses,date,page_url
START644,2人の年上お姉さんが優しく甘えさせてくれて男では味わえない未知の快感へと導く【絶頂開発レズ】 星乃莉子,5.3 GB,https://pics.dmm.co.jp/mono/movie/adult/1start644/1start644pl.jpg,https://onejav.com/torrent/start644/download/40703797/onejav.com_start644.torrent,"3P, 4P, Dildo, Lingerie","Yuri Sasahara, Riko Hoshino, 那賀崎ゆきね",2026-09-22,https://onejav.com/torrent/start644
START532,体液ズブ濡れでよがりイク極上のカラダ 汗・潮・涎全ての星乃汁を味わい堪能する7CORNER 5SEXスペシャル！ 星乃莉子,8.5 GB,https://pics.dmm.co.jp/mono/movie/adult/1start532/1start532pl.jpg,https://onejav.com/torrent/start532/download/47002953/onejav.com_start532.torrent,"Gal, Solowork, Squirting, Sweat, Toy",Riko Hoshino,2026-04-21,https://onejav.com/torrent/start532
START520,雑魚チ〇ポを貶しながらも何度だってヌいてくれて本番までさせてくれる！日本一回転率の悪い罵倒バニーピンサロ！ 星乃莉子,5.5 GB,https://pics.dmm.co.jp/mono/movie/adult/1start520/1start520pl.jpg,https://onejav.com/torrent/start520/download/48425649/onejav.com_start520.torrent,"BIGセール, Bunny Girl, Dirty Words, Drama, Solowork, Subjectivity",Riko Hoshino,2026-03-17,https://onejav.com/torrent/start520
START518,ギャルコンビ時間停止 観光地で悪態をつく映えに必死なコンビニバイトの女2人を懲らしめろ！ 恋渕ももな×星乃莉子,7.8 GB,https://pics.dmm.co.jp/mono/movie/adult/1start518/1start518pl.jpg,https://onejav.com/torrent/start518/download/57425798/onejav.com_start518.torrent,"3P, 4P, Creampie, Drama, Orgy","Riko Hoshino, Momona Renen",2026-02-17,https://onejav.com/torrent/start518
START490,全員彼女持ちだって言うから参加したのに全員に朝までマワされ中出しされていた新年おでんパーティー 星乃莉子,6.1 GB,https://pics.dmm.co.jp/mono/movie/adult/1start490/1start490pl.jpg,https://onejav.com/torrent/start490/download/65258422/onejav.com_start490.torrent,"3P, 4P, Cowgirl, Creampie, Drama, Solowork",Riko Hoshino,2026-01-20,https://onejav.com/torrent/start490
START478,星乃莉子 全裸わ〇せつ十種競技,5.8 GB,https://pics.dmm.co.jp/mono/movie/adult/1start478/1start478pl.jpg,https://onejav.com/torrent/start478/download/82225371/onejav.com_start478.torrent,"Muscle, Outdoors, Sport, Sweat",Riko Hoshino,2025-12-16,https://onejav.com/torrent/start478
START448,地味眼鏡な事務の後輩はむっつり痴女 遊びで1回ヤったら豹変しエロマンガで蓄えていたテクで何度も射精させられた 星乃莉子,6.4 GB,https://pics.dmm.co.jp/mono/movie/adult/1start448/1start448pl.jpg,https://onejav.com/torrent/start448/download/09205362/onejav.com_start448.torrent,"BIGセール, Creampie, Drama, OL, Slut, Solowork",Riko Hoshino,2025-10-21,https://onejav.com/torrent/start448
START413,30発中出し大乱交！ノンストップ・ノーカットで30本のチ●ポを滅多挿し＆ぶっかけ！ 星乃莉子,6.6 GB,https://pics.dmm.co.jp/mono/movie/adult/1start413/1start413pl.jpg,https://onejav.com/torrent/start413/download/84412870/onejav.com_start413.torrent,"3P, 4P, Blow, Bukkake, Creampie, Solowork",Riko Hoshino,2025-09-23,https://onejav.com/torrent/start413
START390,催罠光線で支配されたチアリーダー 星乃莉子,7.1 GB,https://pics.dmm.co.jp/mono/movie/adult/1start390/1start390pl.jpg,https://onejav.com/torrent/start390/download/57626359/onejav.com_start390.torrent,"Cheerleader, Drama, Facials, Outdoors, Solowork",Riko Hoshino,2025-08-19,https://onejav.com/torrent/start390
MBDD2147,恍惚のメモリアル/星乃莉子,4.7 GB,https://pics.dmm.co.jp/mono/movie/adult/n_707mbdd2147/n_707mbdd2147pl.jpg,https://onejav.com/torrent/mbdd2147/download/73678340/onejav.com_mbdd2147.torrent,"Idol, Image Video, Solowork",Riko Hoshino,2025-06-20,https://onejav.com/torrent/mbdd2147
