code,title,size,image_url,torrent_url,tags,actresses,date,page_url
MFYD147,2人目を妊娠した妻が里帰りしている間、長男が通う保育園の先生と自宅でSEXしまくったー。,4.7 GB,https://pics.dmm.co.jp/mono/movie/adult/mfyd147/mfyd147pl.jpg,https://onejav.com/torrent/mfyd147/download/80296080/onejav.com_mfyd147.torrent,"Big Tits, Creampie, Married Woman, Mature Woman, Solowork",Ruisa Totsuki,2026-06-12,https://onejav.com/torrent/mfyd147
MFYD134,たっぷり淫語とじっくり接吻（キス）でアナタを何度も、何度も…射精に導く回春エステ,5.6 GB,https://pics.dmm.co.jp/mono/movie/adult/mfyd134/mfyd134pl.jpg,https://onejav.com/torrent/mfyd134/download/68409583/onejav.com_mfyd134.torrent,"Beauty Shop, Lotion, Married Woman, Mature Woman, Solowork",Ruisa Totsuki,2026-05-15,https://onejav.com/torrent/mfyd134
MFYD118,欲求不満な人妻教師は、17時になると痴女になるー。パワフル杭打ち＆貪りPtoMで放課後何度も生徒のザーメンを狩り尽くす変態教師 都月るいさ,6.3 GB,https://pics.dmm.co.jp/mono/movie/adult/mfyd118/mfyd118pl.jpg,https://onejav.com/torrent/mfyd118/download/14958416/onejav.com_mfyd118.torrent,"Creampie, Female Teacher, Married Woman, Slut, Solowork",Ruisa Totsuki,2026-04-17,https://onejav.com/torrent/mfyd118
MFYD108,都月るいさの限界突破（オーバーリミット）汗だく絶頂4本番！ 目指せAV業界NO.1マッスル痴女お姉さん！！,7.7 GB,https://pics.dmm.co.jp/mono/movie/adult/mfyd108/mfyd108pl.jpg,https://onejav.com/torrent/mfyd108/download/56132818/onejav.com_mfyd108.torrent,"Married Woman, Mature Woman, Slut, Solowork, Sweat",Ruisa Totsuki,2026-03-13,https://onejav.com/torrent/mfyd108
IDBD995,スペ値（身長-体重）110以上のスレンダー美女のポルチオまでねじ込み細腰砕けるほどのデカマラ鬼突き激アクメ 97SEX,18.9 GB,https://pics.dmm.co.jp/mono/movie/adult/idbd995/idbd995pl.jpg,https://onejav.com/torrent/idbd995/download/09088163/onejav.com_idbd995.torrent,"4HR+, Acme · Orgasm, Beautiful Girl, Nasty, Hardcore, Slender, Squirting","愛才りあ, 佐々木さき, Momo Sakura, Karen Kaede, RARA, Minami Aizawa, Iyona Fujii, 日向由奈, Ruisa Totsuki, Ema Futaba, ▼すべて表示する",2026-01-04,https://onejav.com/torrent/idbd995
NTRH016,マジックミラーNTRエステ 隣で美乳スレンダーな彼女が寝取られているのに、僕は巨乳お姉さんの凄テクに抗えず、生中セックスしてしまった。 都月るいさ 赤名いと,7.1 GB,https://pics.dmm.co.jp/mono/movie/adult/ntrh016/ntrh016pl.jpg,https://onejav.com/torrent/ntrh016/download/52553294/onejav.com_ntrh016.torrent,"Creampie, Cuckold, Lotion, Massage, Nasty, Hardcore","Ruisa Totsuki, 赤名いと",2025-12-26,https://onejav.com/torrent/ntrh016
MFYD071,最高にキレイな2人の、最高にハードなレズビアン。 キス＆クンニ＆手マン＆潮吹き＆ハード責め…質も量もとびっきり！ぶっ飛び！イキまくり！！ 春乃るる 都月るいさ,8.2 GB,https://pics.dmm.co.jp/mono/movie/adult/mfyd071/mfyd071pl.jpg,https://onejav.com/torrent/mfyd071/download/73151795/onejav.com_mfyd071.torrent,"Dildo, Lesbian Kiss, Nasty, Hardcore, Squirting","春乃るる, Ruisa Totsuki",2025-12-12,https://onejav.com/torrent/mfyd071
YUJ051,失恋した僕を包み込んで癒してくれたバイト先で知り合った人妻と全て忘れるまで肉体を重ねた、大人のヒアソビ。 都月るいさ,6.4 GB,https://pics.dmm.co.jp/mono/movie/adult/yuj051/yuj051pl.jpg,https://onejav.com/torrent/yuj051/download/98251510/onejav.com_yuj051.torrent,"Big Tits, Creampie, Drama, Married Woman, Slut, Solowork",Ruisa Totsuki,2025-11-28,https://onejav.com/torrent/yuj051
RCTD692,また帰ってきたペニバト！！ 攻守交替制全裸オイルペニバンバトル,5.8 GB,https://pics.dmm.co.jp/mono/movie/adult/1rctd692/1rctd692pl.jpg,https://onejav.com/torrent/rctd692/download/88730989/onejav.com_rctd692.torrent,"BIGセール, Deep Throating, Lotion, Nasty, Hardcore, Planning, Squirting","新村あかり, Ruisa Totsuki, 松井日奈子, 南條彩",2025-10-16,https://onejav.com/torrent/rctd692
RKI723,セルフ イラマチオ ホールド 都月るいさ,5.0 GB,https://pics.dmm.co.jp/mono/movie/adult/rki723/rki723pl.jpg,https://onejav.com/torrent/rki723/download/95339347/onejav.com_rki723.torrent,"Acme · Orgasm, Blow, Deep Throating, M女, Nasty, Hardcore, Solowork",Ruisa Totsuki,2025-09-05,https://onejav.com/torrent/rki723
