code,title,size,image_url,torrent_url,tags,actresses,date,page_url
SAME242,「ウチの息子に何してくれてんだ？」 権力者の父親を持つ生徒に体罰をしてしまった女教師は、 どんな要望でも受け入れる性奴●にさせられた。,7.3 GB,https://pics.dmm.co.jp/mono/movie/adult/same242/same242pl.jpg,https://onejav.com/torrent/same242/download/80843370/onejav.com_same242.torrent,"Big Tits, Creampie, Female Teacher, Humiliation, Married Woman, Solowork",Tsubaki Sannomiya,2026-07-03,https://onejav.com/torrent/same242
ATID679,人妻派遣家政婦はどんな卑猥な要求にも嫌な顔ひとつせず丁寧にご奉仕致します。,6.7 GB,https://pics.dmm.co.jp/mono/movie/adult/atid679/atid679pl.jpg,https://onejav.com/torrent/atid679/download/81808197/onejav.com_atid679.torrent,"Big Tits, Blow, Handjob, Huge Butt, Married Woman, Solowork",Tsubaki Sannomiya,2026-05-29,https://onejav.com/torrent/atid679
REBD998,Tsubaki7 潮騒のエリジウム・三宮つばき,3.2 GB,https://pics.dmm.co.jp/mono/movie/adult/h_346rebd998/h_346rebd998pl.jpg,https://onejav.com/torrent/rebd998/download/33121731/onejav.com_rebd998.torrent,"AV女優, Big Tits, Image Video, Sexy, Solowork",Tsubaki Sannomiya,2026-01-01,https://onejav.com/torrent/rebd998
ADN737,黒い愛人契約 知らずに愛した男は裏社会の人間だった。 三宮つばき,5.2 GB,https://pics.dmm.co.jp/mono/movie/adult/adn737/adn737pl.jpg,https://onejav.com/torrent/adn737/download/70675807/onejav.com_adn737.torrent,"Affair, Big Tits, Creampie, Cuckold, Drama, Solowork",Tsubaki Sannomiya,2025-11-28,https://onejav.com/torrent/adn737
SAME207,先生の穴、好きに使ってね。 女教師、雌穴奴● 三宮つばき,6.4 GB,https://pics.dmm.co.jp/mono/movie/adult/same207/same207pl.jpg,https://onejav.com/torrent/same207/download/12136964/onejav.com_same207.torrent,"3P, 4P, Big Tits, Female Teacher, Humiliation, Shame, Solowork",Tsubaki Sannomiya,2025-10-31,https://onejav.com/torrent/same207
SAME198,話題の美人過ぎるゲーム配信者を監禁して焦らして狂わせてぶっ壊した一部始終。 三宮つばき,8.1 GB,https://pics.dmm.co.jp/mono/movie/adult/same198/same198pl.jpg,https://onejav.com/torrent/same198/download/66859737/onejav.com_same198.torrent,"Acme · Orgasm, Big Tits, Creampie, Humiliation, Orgy, Solowork",Tsubaki Sannomiya,2025-08-29,https://onejav.com/torrent/same198
SAME190,話題の美人過ぎるラウンドガールが拉致監禁輪●された一部始終。 三宮つばき,5.0 GB,https://pics.dmm.co.jp/mono/movie/adult/same190/same190pl.jpg,https://onejav.com/torrent/same190/download/67031890/onejav.com_same190.torrent,"3P, 4P, Big Tits, Confinement, Creampie, Orgy, Solowork",Tsubaki Sannomiya,2025-06-27,https://onejav.com/torrent/same190
YUJ039,「今夜私を満足させてくれるのはねぇ、どっち？」 朝まで続く悶絶するほど気持ちいい女上司の性交テクニック。 三宮つばき,6.4 GB,https://pics.dmm.co.jp/mono/movie/adult/yuj039/yuj039pl.jpg,https://onejav.com/torrent/yuj039/download/73453761/onejav.com_yuj039.torrent,"3P, 4P, Big Tits, Female Boss, M男, Slut, Solowork",Tsubaki Sannomiya,2025-05-30,https://onejav.com/torrent/yuj039
YUJ037,性欲の強めな高級ラウンジ嬢にラブホに誘われて窒息するほどのベロキスとおねだり中出しセックスで骨抜きにされた僕。 三宮つばき,5.1 GB,https://pics.dmm.co.jp/mono/movie/adult/yuj037/yuj037pl.jpg,https://onejav.com/torrent/yuj037/download/43793404/onejav.com_yuj037.torrent,"Big Tits, Blow, Creampie, Handjob, Slut, Solowork",Tsubaki Sannomiya,2025-05-02,https://onejav.com/torrent/yuj037
REBD931,Tsubaki6 悦楽のネバーランド・三宮つばき,3.4 GB,https://pics.dmm.co.jp/mono/movie/adult/h_346rebd931/h_346rebd931pl.jpg,https://onejav.com/torrent/rebd931/download/21702890/onejav.com_rebd931.torrent,"AV女優, Big Tits, BIGセール, Image Video, Sexy, Solowork",Tsubaki Sannomiya,2025-04-17,https://onejav.com/torrent/rebd931
