code,title,size,image_url,torrent_url,tags,actresses,date,page_url
RCTD744,シン女王様のリング2～超欲望の地下女子プロレズ～,4.5 GB,https://pics.dmm.co.jp/mono/movie/adult/1rctd744/1rctd744pl.jpg,https://onejav.com/torrent/rctd744/download/36368849/onejav.com_rctd744.torrent,"Humiliation, Mistress, Nasty, Hardcore, Planning, SM","Yuina Taki, 工藤ゆり",2026-06-21,https://onejav.com/torrent/rctd744
PYM554,おま〇こズボズボ 美尻デカ尻ディルドオナニー 貴方のおちん〇ん食べちゃうぞ,10.4 GB,https://pics.dmm.co.jp/mono/movie/adult/h_283pym554/h_283pym554pl.jpg,https://onejav.com/torrent/pym554/download/52409820/onejav.com_pym554.torrent,"4HR+, Close Up, Cowgirl, Dildo, Masturbation, Older Sister, Subjectivity","Kokoro Ayase, 加護まり, Hotaru Nogi, 愛瀬ゆう, Yuina Taki, 乃南ゆり, 浅桜エリ, 指原美奈, 橘紅葉, 八森わか菜",2026-03-29,https://onejav.com/torrent/pym554
AGMX255,顔で抜く！！顔面ドアップ主観フェラ,4.3 GB,https://pics.dmm.co.jp/mono/movie/adult/agmx255/agmx255pl.jpg,https://onejav.com/torrent/agmx255/download/16272737/onejav.com_agmx255.torrent,"Beautiful Girl, Blow, Handjob, Other Fetish, Subjectivity","橘内ひなた, 兼咲みゆ, 甘井くるみ, Yuina Taki, 相沢澪, 安堂はるの, 瀬戸ひなこ",2026-01-24,https://onejav.com/torrent/agmx255
REXD553,熱血教師！ ゆいな先生 滝ゆいな,5.0 GB,https://pics.dmm.co.jp/mono/movie/adult/rexd553/rexd553pl.jpg,https://onejav.com/torrent/rexd553/download/13405641/onejav.com_rexd553.torrent,"3P, 4P, Creampie, Drama, Female Teacher, Solowork, Tall",Yuina Taki,2025-02-21,https://onejav.com/torrent/rexd553
GVH722,禁断介護 滝ゆいな,5.6 GB,https://pics.dmm.co.jp/mono/movie/adult/gvh722/gvh722pl.jpg,https://onejav.com/torrent/gvh722/download/88575611/onejav.com_gvh722.torrent,"Creampie, Cuckold, Elder Male, Incest, Kiss, Solowork",Yuina Taki,2025-02-15,https://onejav.com/torrent/gvh722
DVRT049,女子プロレスに憧れている極悪女王の姉が弟の肉棒で性処理する話 滝ゆいな,4.9 GB,https://pics.dmm.co.jp/mono/movie/adult/dvrt049/dvrt049pl.jpg,https://onejav.com/torrent/dvrt049/download/77127336/onejav.com_dvrt049.torrent,"Big Tits, Creampie, Fighting Action, Incest, Solowork, Tall",Yuina Taki,2025-01-31,https://onejav.com/torrent/dvrt049
VDD188,スチュワーデスin...（脅迫スイートルーム） 滝ゆいな,4.7 GB,https://pics.dmm.co.jp/mono/movie/adult/24vdd188/24vdd188pl.jpg,https://onejav.com/torrent/vdd188/download/74191617/onejav.com_vdd188.torrent,"3P, 4P, Breasts, Deep Throating, Dildo, M女, Restraints, Solowork, Stewardess, Toy",Yuina Taki,2025-01-04,https://onejav.com/torrent/vdd188
AARM268,《チックスナイン》で相互乳首舐めしながらち〇ぽベロンベロンにしゃぶられ続ける,5.0 GB,https://pics.dmm.co.jp/mono/movie/adult/aarm268/aarm268pl.jpg,https://onejav.com/torrent/aarm268/download/40592408/onejav.com_aarm268.torrent,"3P, 4P, BIGセール第2弾, Blow, Breasts, Mini Skirt, Slut","宇流木さらら, 水瀬さな, Moeka Marui, 弘中優, 仲川そら, Yuina Taki, 宇佐美みおん",2024-12-19,https://onejav.com/torrent/aarm268
MEYD958,欲求不満な人妻がスイミングスクールでハマったレズビアン ～女だけのずぶ濡れプールサイド～ 滝ゆいな 堤セリナ,5.0 GB,https://pics.dmm.co.jp/mono/movie/adult/meyd958/meyd958pl.jpg,https://onejav.com/torrent/meyd958/download/66451911/onejav.com_meyd958.torrent,"Lesbian Kiss, Married Woman, School Swimsuit, Tall","Yuina Taki, 堤セリナ",2024-12-18,https://onejav.com/torrent/meyd958
YST325,義理の父に口マ●コとして扱われてるのにマン汁を滴らせる私は変態です。 滝ゆいな,4.0 GB,https://pics.dmm.co.jp/mono/movie/adult/540yst325/540yst325pl.jpg,https://onejav.com/torrent/yst325/download/79945701/onejav.com_yst325.torrent,"BIGセール, Conceived, Creampie, Incest, Nasty, Hardcore, Other Fetish, Solowork",Yuina Taki,2024-11-29,https://onejav.com/torrent/yst325
