code,title,size,image_url,torrent_url,tags,actresses,date,page_url
START644,2人の年上お姉さんが優しく甘えさせてくれて男では味わえない未知の快感へと導く【絶頂開発レズ】 星乃莉子,5.3 GB,https://pics.dmm.co.jp/mono/movie/adult/1start644/1start644pl.jpg,https://onejav.com/torrent/start644/download/40703797/onejav.com_start644.torrent,"3P, 4P, Dildo, Lingerie","Yuri Sasahara, Riko Hoshino, 那賀崎ゆきね",2026-09-22,https://onejav.com/torrent/start644
KAM282,産婦人科どすけべ診察 検診で来院した美人妻のお股をぬぷぬぷ診療しまくる悪徳エロ産婦人科医 05,2.9 GB,https://pics.dmm.co.jp/mono/movie/adult/kam282/kam282pl.jpg,https://onejav.com/torrent/kam282/download/28411930/onejav.com_kam282.torrent,"Creampie, Married Woman, Mature Woman, Solowork, Voyeur",Yuri Sasahara,2026-09-12,https://onejav.com/torrent/kam282
SAME238,償いの数だけ私を辱めてください…。,3.7 GB,https://pics.dmm.co.jp/mono/movie/adult/same238/same238pl.jpg,https://onejav.com/torrent/same238/download/31362495/onejav.com_same238.torrent,"Creampie, Drama, Hotel, Humiliation, Solowork, Widow",Yuri Sasahara,2026-07-31,https://onejav.com/torrent/same238
DOKS674,乳首いじりが日常に溶け込んだ世界でイジられていることには気づかないまま皆の前で乳首絶頂してしまう敏感オフィスレディたち,4.1 GB,https://pics.dmm.co.jp/mono/movie/adult/h_139doks674/h_139doks674pl.jpg,https://onejav.com/torrent/doks674/download/19665246/onejav.com_doks674.torrent,"Big Tits, Blow, Breasts, OL, Other Fetish, Small Tits, Toy, Uniform","Yuri Sasahara, 涼花くるみ, 葉月ひな, 乙葉らぶ, 夢乃のあ",2026-06-01,https://onejav.com/torrent/doks674
JJDA074,りはびりの妻 性処理出来ない患者に頼み込まれた看護師妻,5.4 GB,https://pics.dmm.co.jp/mono/movie/adult/jjda074/jjda074pl.jpg,https://onejav.com/torrent/jjda074/download/27012578/onejav.com_jjda074.torrent,"Big Tits, Creampie, Cuckold, Married Woman, Nurse, Solowork",Yuri Sasahara,2026-05-29,https://onejav.com/torrent/jjda074
DOKS675,外人のようにチ〇ポを根元までガッツリ咥えるジャパニーズディープスロート,5.1 GB,https://pics.dmm.co.jp/mono/movie/adult/h_139doks675/h_139doks675pl.jpg,https://onejav.com/torrent/doks675/download/35182690/onejav.com_doks675.torrent,"3P, 4P, Big Tits, Blow, Dirty Words, Kimono, Yukata, Nasty, Hardcore, Older Sister, Other Fetish, Slut","Yuri Sasahara, 涼花くるみ, 葉月ひな, 乙葉らぶ, 夢乃のあ",2026-05-01,https://onejav.com/torrent/doks675
NEO946,唾とオシッコで溺死したい 紗々原ゆり,5.2 GB,https://pics.dmm.co.jp/mono/movie/adult/433neo946/433neo946pl.jpg,https://onejav.com/torrent/neo946/download/55917104/onejav.com_neo946.torrent,"BIGセール, Dirty Words, M男, Slut, Solowork, Urination",Yuri Sasahara,2026-03-21,https://onejav.com/torrent/neo946
NSFS453,元女優の妻 ～親族たちにまわされてしまったあの日～ 後編 紗々原ゆり,6.1 GB,https://pics.dmm.co.jp/mono/movie/adult/nsfs453/nsfs453pl.jpg,https://onejav.com/torrent/nsfs453/download/83775426/onejav.com_nsfs453.torrent,"Drama, Married Woman, Mature Woman, Solowork",Yuri Sasahara,2026-02-07,https://onejav.com/torrent/nsfs453
NSFS445,元女優の妻 ～親族たちにまわされてしまったあの日～ 前編 紗々原ゆり,4.6 GB,https://pics.dmm.co.jp/mono/movie/adult/nsfs445/nsfs445pl.jpg,https://onejav.com/torrent/nsfs445/download/89564096/onejav.com_nsfs445.torrent,"Drama, Married Woman, Mature Woman, Solowork",Yuri Sasahara,2026-01-10,https://onejav.com/torrent/nsfs445
AARM315,ノーハンドピストン！男に腰を振らせない立ちバック！！,5.2 GB,https://pics.dmm.co.jp/mono/movie/adult/aarm315/aarm315pl.jpg,https://onejav.com/torrent/aarm315/download/11279072/onejav.com_aarm315.torrent,"Back, Butt, Huge Butt, Slut","Yuri Sasahara, 伊東沙蘭, 若宮はずき, Minaho Ariga",2025-09-18,https://onejav.com/torrent/aarm315
