code,title,size,image_url,torrent_url,tags,actresses,date,page_url
START550,付き合ったばかりのるいと始めた丁寧な暮らし 時にはスローに時には情熱的に絶倫彼女に翻弄されるセックスライフ 一宮るい,5.9 GB,https://pics.dmm.co.jp/mono/movie/adult/1start550/1start550pl.jpg,https://onejav.com/torrent/start550/download/64119705/onejav.com_start550.torrent,"Breasts, Couple, Drama, Slender, Solowork",一宮るい,2026-06-02,https://onejav.com/torrent/start550
START416,【脱出条件:遅漏M男5人を相手に抜きテクを習得し連続発射させよ！】全員ヌクまで出られない 射精ダンジョン 一宮るい,6.3 GB,https://pics.dmm.co.jp/mono/movie/adult/1start416/1start416pl.jpg,https://onejav.com/torrent/start416/download/31139779/onejav.com_start416.torrent,"3P, 4P, Blow, Lingerie, Slender, Solowork",一宮るい,2026-05-05,https://onejav.com/torrent/start416
START528,通学中に読書にふける文系女子大生が吊り革拘束立ちバックで膝ガク潮吹き お漏らししながらイク快感が忘れられず痴〇好みの女に… 一宮るい,6.1 GB,https://pics.dmm.co.jp/mono/movie/adult/1start528/1start528pl.jpg,https://onejav.com/torrent/start528/download/97168508/onejav.com_start528.torrent,"3P, 4P, BIGセール, Facials, Female College Student, Slender, Solowork",一宮るい,2026-03-10,https://onejav.com/torrent/start528
START493,人生初のナマ中出し解禁 気持ち良すぎて痙攣が止まらない大絶頂セックス！ 一宮るい,6.8 GB,https://pics.dmm.co.jp/mono/movie/adult/1start493/1start493pl.jpg,https://onejav.com/torrent/start493/download/16129962/onejav.com_start493.torrent,"3P, 4P, Creampie, Slender, Solowork, Squirting",一宮るい,2026-02-10,https://onejav.com/torrent/start493
START469,いいなり温泉旅行 一宮るい,7.5 GB,https://pics.dmm.co.jp/mono/movie/adult/1start469/1start469pl.jpg,https://onejav.com/torrent/start469/download/96576807/onejav.com_start469.torrent,"3P, 4P, Hot Spring, Slender, Solowork, Vibe",一宮るい,2026-01-13,https://onejav.com/torrent/start469
START475,同期のSODSTAR新人天神羽衣と一宮るいが1日SOD女子社員 AV撮影の準備や企画会議など業務体験中にデカチンを即ハメされまくり！人生最大の羞恥に赤面しっぱなし！,5.8 GB,https://pics.dmm.co.jp/mono/movie/adult/1start475/1start475pl.jpg,https://onejav.com/torrent/start475/download/82649543/onejav.com_start475.torrent,"Impromptu Sex, OL, Orgy, Shame, Squirting","天神羽衣, 一宮るい",2025-12-09,https://onejav.com/torrent/start475
START457,串刺しP to Mセックス 上司たちのセクハラチ〇ポで上下穴封鎖！声も出せずに身悶えしかできない美人スレンダーOL 一宮るい,5.8 GB,https://pics.dmm.co.jp/mono/movie/adult/1start457/1start457pl.jpg,https://onejav.com/torrent/start457/download/96586699/onejav.com_start457.torrent,"3P, 4P, Blow, Drama, Slender, Solowork",一宮るい,2025-11-11,https://onejav.com/torrent/start457
START435,絶頂開発 敏感BODYをガクブル震わせながらジブン史上最高の激イキ！巨根大絶頂 一宮るい,6.3 GB,https://pics.dmm.co.jp/mono/movie/adult/1start435/1start435pl.jpg,https://onejav.com/torrent/start435/download/23344059/onejav.com_start435.torrent,"3P, 4P, BIGセール, Huge Cock, Masturbation, Solowork, Squirting",一宮るい,2025-10-14,https://onejav.com/torrent/start435
START392,朝ランジョガー・エステ嬢・OL・ナース 一宮るいのスーパー美脚に目を奪われる妄想4シチュエーション 一宮るい,5.9 GB,https://pics.dmm.co.jp/mono/movie/adult/1start392/1start392pl.jpg,https://onejav.com/torrent/start392/download/03081988/onejav.com_start392.torrent,"3P, 4P, Drama, Leg Fetish, Slender, Solowork",一宮るい,2025-09-09,https://onejav.com/torrent/start392
MBRBA135,美女のハダカ/一宮るい,3.6 GB,https://pics.dmm.co.jp/mono/movie/adult/n_709mbrba135/n_709mbrba135pl.jpg,https://onejav.com/torrent/mbrba135/download/57487915/onejav.com_mbrba135.torrent,"Idol, Image Video, Solowork",一宮るい,2025-08-20,https://onejav.com/torrent/mbrba135
