code,title,size,image_url,torrent_url,tags,actresses,date,page_url
JUR733,高級クラブの人妻、太客の汗と体液にまみれた、閉店後中出し枕営業―。,3.7 GB,https://pics.dmm.co.jp/mono/movie/adult/jur733/jur733pl.jpg,https://onejav.com/torrent/jur733/download/64797151/onejav.com_jur733.torrent,"3P, 4P, Married Woman, Mature Woman, Prostitutes, Shame, Solowork",古東まりこ,2026-06-19,https://onejav.com/torrent/jur733
JUR696,愛する娘を救うために乗り込んだホストクラブで売掛金の返済を求められ肉体返済に堕とされた母ー。,7.2 GB,https://pics.dmm.co.jp/mono/movie/adult/jur696/jur696pl.jpg,https://onejav.com/torrent/jur696/download/54038626/onejav.com_jur696.torrent,"3P, 4P, Creampie, Married Woman, Mature Woman, Nasty, Hardcore, Solowork",古東まりこ,2026-05-22,https://onejav.com/torrent/jur696
JUR664,30000円あげます こんなおばさんと sexしてくれる人いるかな？ 古東まりこ,6.4 GB,https://pics.dmm.co.jp/mono/movie/adult/jur664/jur664pl.jpg,https://onejav.com/torrent/jur664/download/60394622/onejav.com_jur664.torrent,"Affair, Big Tits, Creampie, Married Woman, Mature Woman, Solowork",古東まりこ,2026-04-24,https://onejav.com/torrent/jur664
JUR658,『まりこの‘熟れた柔乳’を弄り尽くして下さい―。』 夫の年下上司に専属≪乳奴●≫として、飼い慣らされた私…。 古東まりこ,6.4 GB,https://pics.dmm.co.jp/mono/movie/adult/jur658/jur658pl.jpg,https://onejav.com/torrent/jur658/download/35499373/onejav.com_jur658.torrent,"Big Tits, Cuckold, Drama, Married Woman, Mature Woman, Solowork",古東まりこ,2026-03-20,https://onejav.com/torrent/jur658
JUR595,四六時中、娘婿のデカチ○ポが欲しくて堪らない義母の誘い 古東まりこ,6.1 GB,https://pics.dmm.co.jp/mono/movie/adult/jur595/jur595pl.jpg,https://onejav.com/torrent/jur595/download/74053292/onejav.com_jur595.torrent,"Big Tits, Married Woman, Mature Woman, Slut, Solowork, Stepmother",古東まりこ,2026-02-20,https://onejav.com/torrent/jur595
JUR575,「アンタの奥さん、最高だったよ」 3ヶ月で辞めた新入社員の退職届に書かれた想定外のNTR話 古東まりこ,6.2 GB,https://pics.dmm.co.jp/mono/movie/adult/jur575/jur575pl.jpg,https://onejav.com/torrent/jur575/download/74875275/onejav.com_jur575.torrent,"Creampie, Cuckold, Married Woman, Mature Woman, OL, Solowork",古東まりこ,2026-01-23,https://onejav.com/torrent/jur575
JUR532,「振り向いたらダメ…先生、これから悪いコトするから…。」いじめられっ子を癒す、女教師・まりこの甘い接吻と誘惑。 古東まりこ,6.1 GB,https://pics.dmm.co.jp/mono/movie/adult/jur532/jur532pl.jpg,https://onejav.com/torrent/jur532/download/72219954/onejav.com_jur532.torrent,"Big Tits, Female Teacher, Married Woman, Mature Woman, Solowork, Various Professions",古東まりこ,2025-12-19,https://onejav.com/torrent/jur532
JUR515,ハプニングバー人妻NTR 「あなたのためよ…」と言っていた妻がいつしか群がる男たちに夢中になっていた。 古東まりこ 野上しおり,7.3 GB,https://pics.dmm.co.jp/mono/movie/adult/jur515/jur515pl.jpg,https://onejav.com/torrent/jur515/download/30649310/onejav.com_jur515.torrent,"Big Tits, Creampie, Cuckold, Married Woman, Mature Woman","古東まりこ, 野上しおり",2025-11-21,https://onejav.com/torrent/jur515
JUR483,背徳の寝取らせシアタールーム 低俗男たちの醜い肉棒で汚された貞淑妻ー。 古東まりこ,6.0 GB,https://pics.dmm.co.jp/mono/movie/adult/jur483/jur483pl.jpg,https://onejav.com/torrent/jur483/download/75537145/onejav.com_jur483.torrent,"Big Tits, Cuckold, Married Woman, Mature Woman, Shame, Solowork",古東まりこ,2025-10-24,https://onejav.com/torrent/jur483
JUR425,毎晩旦那とヤリまくる絶倫叔母と一泊二日の搾精旅行 ヌカれまくって性に目覚めた童貞の僕は… すべて忘れて連続中出し交尾にハマってしまった。 古東まりこ,5.0 GB,https://pics.dmm.co.jp/mono/movie/adult/jur425/jur425pl.jpg,https://onejav.com/torrent/jur425/download/30141409/onejav.com_jur425.torrent,"Big Tits, Hot Spring, Married Woman, Mature Woman, Slut, Solowork",古東まりこ,2025-09-19,https://onejav.com/torrent/jur425
