code,title,size,image_url,torrent_url,tags,actresses,date,page_url
ODVHJ078,某都内サウナにいた綺麗で色っぽいアカスリおばさん妻たちと性交できたエロ話…（4）,7.7 GB,https://pics.dmm.co.jp/mono/movie/adult/48odvhj078/48odvhj078pl.jpg,https://onejav.com/torrent/odvhj078/download/03385804/onejav.com_odvhj078.torrent,"Big Tits, Creampie, Cuckold, Huge Cock, Married Woman, Massage, Mature Woman","白峰郁美, 月野夜宵, 宮ノ木しゅんか, 東ふうか",2026-07-14,https://onejav.com/torrent/odvhj078
HSODA117,毎日オカズにし合っていた親子。夫の出張で理性がぶっ飛んだ汗だく近親相愛。 東ふうか,6.2 GB,https://pics.dmm.co.jp/mono/movie/adult/hsoda117/hsoda117pl.jpg,https://onejav.com/torrent/hsoda117/download/96556497/onejav.com_hsoda117.torrent,"Cowgirl, Creampie, Incest, Mother, Nasty, Hardcore, Solowork",東ふうか,2026-05-18,https://onejav.com/torrent/hsoda117
ALDN571,辛抱堪らん 義理の娘でもおじさんは 東ふうか,4.6 GB,https://pics.dmm.co.jp/mono/movie/adult/aldn571/aldn571pl.jpg,https://onejav.com/torrent/aldn571/download/75625535/onejav.com_aldn571.torrent,"Creampie, Incest, Married Woman, Mature Woman, Solowork",東ふうか,2026-03-21,https://onejav.com/torrent/aldn571
VEMA254,逆セクハラ×コンビニ妻～卑猥な淫語でバイト君を勃起させてチ○ポをしゃぶりつくす確信犯～ 東ふうか,4.0 GB,https://pics.dmm.co.jp/mono/movie/adult/vema254/vema254pl.jpg,https://onejav.com/torrent/vema254/download/49223015/onejav.com_vema254.torrent,"Big Tits, Creampie, Married Woman, Mature Woman, Slut, Solowork",東ふうか,2026-01-23,https://onejav.com/torrent/vema254
VEC751,バイト先で働く美しい人妻を家に連れ込み中出しセックス 東ふうか,4.8 GB,https://pics.dmm.co.jp/mono/movie/adult/vec751/vec751pl.jpg,https://onejav.com/torrent/vec751/download/59233233/onejav.com_vec751.torrent,"Big Tits, Creampie, Cuckold, Married Woman, Mature Woman, Solowork",東ふうか,2025-12-19,https://onejav.com/torrent/vec751
VEC744,浮気がバレた絶倫ヤリチン夫を説教しにきた嫁の親友 東ふうか,4.7 GB,https://pics.dmm.co.jp/mono/movie/adult/vec744/vec744pl.jpg,https://onejav.com/torrent/vec744/download/11956833/onejav.com_vec744.torrent,"Big Tits, Creampie, Cuckold, Married Woman, Mature Woman, Solowork",東ふうか,2025-11-21,https://onejav.com/torrent/vec744
VEC737,体型維持に悩む美尻奥様が絶対挿入禁止のケツ筋ぶるぶるスクワットトレーニング！我慢できずにズブズブ騎乗位中出し！ピストン快楽から抜け出せない！ 東ふうか,5.0 GB,https://pics.dmm.co.jp/mono/movie/adult/vec737/vec737pl.jpg,https://onejav.com/torrent/vec737/download/15637399/onejav.com_vec737.torrent,"Butt, Cowgirl, Creampie, Married Woman, Mature Woman, Solowork",東ふうか,2025-10-24,https://onejav.com/torrent/vec737
VENX339,お、お義父さんやめて下さい（汗） 私の入浴中、勝手にお風呂に入ってくるのは…ッ！！ 東ふうか,4.7 GB,https://pics.dmm.co.jp/mono/movie/adult/venx339/venx339pl.jpg,https://onejav.com/torrent/venx339/download/32829709/onejav.com_venx339.torrent,"Bath, Creampie, Cuckold, Married Woman, Mature Woman, Solowork",東ふうか,2025-09-19,https://onejav.com/torrent/venx339
MESU136,高額アルバイトに応募した世間知らずな人妻～私の仕事は頼まれたら断らない、それだけ～ 東ふうか,5.9 GB,https://pics.dmm.co.jp/mono/movie/adult/h_086mesu136/h_086mesu136pl.jpg,https://onejav.com/torrent/mesu136/download/78531812/onejav.com_mesu136.torrent,"Cuckold, Married Woman, Mature Woman, OL, Solowork, Various Professions",東ふうか,2025-09-11,https://onejav.com/torrent/mesu136
VEC724,無理やり抱かれたセックスが忘れられなくて浮気の沼に魅せられた人妻 東ふうか,5.4 GB,https://pics.dmm.co.jp/mono/movie/adult/vec724/vec724pl.jpg,https://onejav.com/torrent/vec724/download/27266134/onejav.com_vec724.torrent,"Affair, Creampie, Cuckold, Married Woman, Mature Woman, Solowork",東ふうか,2025-08-22,https://onejav.com/torrent/vec724
