code,title,size,image_url,torrent_url,tags,actresses,date,page_url
JUR764,町内キャンプNTR テントの中でまわされた妻の衝撃的寝取られ映像,8.1 GB,https://pics.dmm.co.jp/mono/movie/adult/jur764/jur764pl.jpg,https://onejav.com/torrent/jur764/download/67457134/onejav.com_jur764.torrent,"3P, 4P, Creampie, Cuckold, Married Woman, Mature Woman, Solowork",篠原いよ,2026-06-19,https://onejav.com/torrent/jur764
JUR080,密着セックス ～恩師との再会…身も心も背徳不倫に溺れる介護士の人妻～,5.5 GB,https://pics.dmm.co.jp/mono/movie/adult/jur080/jur080pl.jpg,https://onejav.com/torrent/jur080/download/49346415/onejav.com_jur080.torrent,"Affair, Big Tits, Married Woman, Mature Woman, Solowork, Various Professions",篠原いよ,2026-05-22,https://onejav.com/torrent/jur080
JUR677,女教師NTR 不良生徒に最愛の妻を寝取られてー。 篠原いよ,6.2 GB,https://pics.dmm.co.jp/mono/movie/adult/jur677/jur677pl.jpg,https://onejav.com/torrent/jur677/download/00397053/onejav.com_jur677.torrent,"Big Tits, Cuckold, Female Teacher, Married Woman, Mature Woman, Solowork",篠原いよ,2026-03-20,https://onejav.com/torrent/jur677
JUR643,美しき人妻女医、資産家患者を唾液と愛液で潤す服従の接吻中出し性交。 篠原いよ,6.0 GB,https://pics.dmm.co.jp/mono/movie/adult/jur643/jur643pl.jpg,https://onejav.com/torrent/jur643/download/75957627/onejav.com_jur643.torrent,"Creampie, Female Doctor, Kiss, Married Woman, Mature Woman, Solowork",篠原いよ,2026-02-20,https://onejav.com/torrent/jur643
JUR618,ハプニングバー人妻NTR 「あなたのためよ…」と言っていた妻がいつしか群がる男たちに夢中になっていた。 篠原いよ 緒川はる,6.1 GB,https://pics.dmm.co.jp/mono/movie/adult/jur618/jur618pl.jpg,https://onejav.com/torrent/jur618/download/55712997/onejav.com_jur618.torrent,"Big Tits, Creampie, Cuckold, Married Woman, Mature Woman","篠原いよ, 緒川はる",2026-01-23,https://onejav.com/torrent/jur618
JUR577,高級クラブの人妻、太客の汗と体液にまみれた、閉店後中出し枕営業―。 篠原いよ,4.9 GB,https://pics.dmm.co.jp/mono/movie/adult/jur577/jur577pl.jpg,https://onejav.com/torrent/jur577/download/56474739/onejav.com_jur577.torrent,"Big Tits, Creampie, Married Woman, Mature Woman, Solowork, Various Professions",篠原いよ,2025-12-19,https://onejav.com/torrent/jur577
JUR550,篠原いよ デビュー1周年記念 レズ解禁―。 性欲が尽き果てるまで何度も何度も貪り合う汗だくだくレズビアン,8.7 GB,https://pics.dmm.co.jp/mono/movie/adult/jur550/jur550pl.jpg,https://onejav.com/torrent/jur550/download/33865982/onejav.com_jur550.torrent,"Big Tits, Married Woman, Mature Woman, Sweat","篠原いよ, 友田真希, 加藤あやの",2025-11-21,https://onejav.com/torrent/jur550
JUR525,愛を認めさせたくて妻と絶倫の後輩を2人きりにして3時間…抜かずの追撃中出し計16発で妻を奪われた僕のNTR話 篠原いよ,6.1 GB,https://pics.dmm.co.jp/mono/movie/adult/jur525/jur525pl.jpg,https://onejav.com/torrent/jur525/download/44480200/onejav.com_jur525.torrent,"Big Tits, Creampie, Cuckold, Married Woman, Mature Woman, Solowork",篠原いよ,2025-10-24,https://onejav.com/torrent/jur525
JUR488,身も心も相性抜群の2人ー。’想い’と’唇’が重なる濃密接吻ソープ 篠原いよ,6.0 GB,https://pics.dmm.co.jp/mono/movie/adult/jur488/jur488pl.jpg,https://onejav.com/torrent/jur488/download/17875923/onejav.com_jur488.torrent,"Creampie, Kiss, Married Woman, Mature Woman, Soapland, Solowork",篠原いよ,2025-09-19,https://onejav.com/torrent/jur488
JUR438,背徳の寝取らせシアタールーム 低俗男たちの醜い肉棒で汚された貞淑妻ー。 篠原いよ,6.1 GB,https://pics.dmm.co.jp/mono/movie/adult/jur438/jur438pl.jpg,https://onejav.com/torrent/jur438/download/57707171/onejav.com_jur438.torrent,"3P, 4P, Big Tits, Cuckold, Married Woman, Mature Woman, Solowork",篠原いよ,2025-08-22,https://onejav.com/torrent/jur438
