code,title,size,image_url,torrent_url,tags,actresses,date,page_url
SNOS234,グラビアアイドルの際どい水着は撮影スタッフのレ●プ欲を掻き立てる 紫堂るい,3.6 GB,https://pics.dmm.co.jp/mono/movie/adult/snos234/snos234pl.jpg,https://onejav.com/torrent/snos234/download/10824738/onejav.com_snos234.torrent,"Big Tits, Facials, Idol, Nasty, Hardcore, Solowork, Swimsuit",紫堂るい,2026-06-05,https://onejav.com/torrent/snos234
FWAY095,みんな、おっぱいが好き 紫堂るい,3.6 GB,https://pics.dmm.co.jp/mono/movie/adult/fway095/fway095pl.jpg,https://onejav.com/torrent/fway095/download/57501459/onejav.com_fway095.torrent,"Big Tits, Breasts, Image Video, Sexy, Slender, Solowork",紫堂るい,2026-06-05,https://onejav.com/torrent/fway095
SNOS192,もしグラビアアイドルにパイズリ誘惑されても断れますか？ 紫堂るい,4.6 GB,https://pics.dmm.co.jp/mono/movie/adult/snos192/snos192pl.jpg,https://onejav.com/torrent/snos192/download/95971913/onejav.com_snos192.torrent,"Big Tits, Busty Fetish, Idol, Slut, Solowork, Titty Fuck",紫堂るい,2026-05-08,https://onejav.com/torrent/snos192
SNOS122,芸能界に蔓延するキメセクに元子役グラドルが挑戦 紫堂るい,5.1 GB,https://pics.dmm.co.jp/mono/movie/adult/snos122/snos122pl.jpg,https://onejav.com/torrent/snos122/download/76477195/onejav.com_snos122.torrent,"3P, 4P, Acme · Orgasm, Big Tits, Idol, Nasty, Hardcore, Solowork",紫堂るい,2026-03-06,https://onejav.com/torrent/snos122
OAE306,裸神 紫堂るい,5.0 GB,https://pics.dmm.co.jp/mono/movie/adult/oae306/oae306pl.jpg,https://onejav.com/torrent/oae306/download/95920672/onejav.com_oae306.torrent,"Image Video, Solowork",紫堂るい,2026-02-20,https://onejav.com/torrent/oae306
SNOS112,巨乳グラドルはやはり痴●に狙われやすいらしい 紫堂るい,6.3 GB,https://pics.dmm.co.jp/mono/movie/adult/snos112/snos112pl.jpg,https://onejav.com/torrent/snos112/download/85800485/onejav.com_snos112.torrent,"Acme · Orgasm, Big Tits, Drama, Humiliation, Solowork, Squirting",紫堂るい,2026-02-06,https://onejav.com/torrent/snos112
SNOS037,グラドルと同棲生活しちゃう？ 紫堂るいの完全主観オナニーサポート,7.8 GB,https://pics.dmm.co.jp/mono/movie/adult/snos037/snos037pl.jpg,https://onejav.com/torrent/snos037/download/78655243/onejav.com_snos037.torrent,"Big Tits, Blow, Cowgirl, Solowork, Subjectivity, Titty Fuck",紫堂るい,2026-01-09,https://onejav.com/torrent/snos037
SNOS008,目を覚ますと下着姿のグラドルとホテルで二人きり…慌てる僕を横目に誘惑してくる芸能人一体酔っている間に何があった！？ 紫堂るい,5.1 GB,https://pics.dmm.co.jp/mono/movie/adult/snos008/snos008pl.jpg,https://onejav.com/torrent/snos008/download/78272381/onejav.com_snos008.torrent,"Beautiful Girl, Big Tits, Cowgirl, Drama, Idol, Solowork",紫堂るい,2025-12-05,https://onejav.com/torrent/snos008
SONE968,今日もグラドル家庭教師のおっぱいが気になって授業に集中できない 紫堂るい,5.2 GB,https://pics.dmm.co.jp/mono/movie/adult/sone968/sone968pl.jpg,https://onejav.com/torrent/sone968/download/77748424/onejav.com_sone968.torrent,"Acme · Orgasm, Big Tits, Idol, Solowork, Titty Fuck, Tutor",紫堂るい,2025-11-07,https://onejav.com/torrent/sone968
SONE937,元子役グラドル芸能人 人生初禁欲でじっとりねっとり大絶頂 紫堂るい,8.3 GB,https://pics.dmm.co.jp/mono/movie/adult/sone937/sone937pl.jpg,https://onejav.com/torrent/sone937/download/83445150/onejav.com_sone937.torrent,"Acme · Orgasm, Big Tits, Documentary, Idol, Nasty, Hardcore, Solowork",紫堂るい,2025-10-10,https://onejav.com/torrent/sone937
