code,title,size,image_url,torrent_url,tags,actresses,date,page_url
SQTE692,いつでも使えるオナホ後輩 小野坂ゆいか,3.7 GB,https://pics.dmm.co.jp/mono/movie/adult/sqte692/sqte692pl.jpg,https://onejav.com/torrent/sqte692/download/86802678/onejav.com_sqte692.torrent,"Beautiful Girl, Blow, Creampie, Masturbation, Solowork",小野坂ゆいか,2026-06-13,https://onejav.com/torrent/sqte692
VOD058,小野坂ゆいかのオマ●コ汁垂れ流しソープに素人ファンをご招待！プレミア級のエロくて気持ち良い騎乗位SEXを好き放題プレゼント,3.8 GB,https://pics.dmm.co.jp/mono/movie/adult/vod058/vod058pl.jpg,https://onejav.com/torrent/vod058/download/76272514/onejav.com_vod058.torrent,"Big Tits, Documentary, Married Woman, Mature Woman, Prostitutes, Solowork",小野坂ゆいか,2026-06-12,https://onejav.com/torrent/vod058
NGOD344,職場痴● おとなしい事務員の妻が巨根の上司に毎日ワイセツ行為をされているようだ…,6.4 GB,https://pics.dmm.co.jp/mono/movie/adult/ngod344/ngod344pl.jpg,https://onejav.com/torrent/ngod344/download/73265315/onejav.com_ngod344.torrent,"3P, 4P, Cuckold, Huge Cock, Married Woman, Solowork",小野坂ゆいか,2026-06-05,https://onejav.com/torrent/ngod344
AARM352,オナニーするのに実用的！エグい体位でパコられてるヌルヌルま○こをドアップでタップリ味わえるエロビ Ver.5,3.9 GB,https://pics.dmm.co.jp/mono/movie/adult/aarm352/aarm352pl.jpg,https://onejav.com/torrent/aarm352/download/04752475/onejav.com_aarm352.torrent,"Blow, Breasts, Cowgirl, Huge Butt, Sweat","Yui Hatano, 小野坂ゆいか",2026-06-04,https://onejav.com/torrent/aarm352
HBAD734,お隣に住む美人でエロボディのお姉さんがノーパンノーブラで誘惑してくる 小野坂ゆいか,4.0 GB,https://pics.dmm.co.jp/mono/movie/adult/1hbad734/1hbad734pl.jpg,https://onejav.com/torrent/hbad734/download/52132052/onejav.com_hbad734.torrent,Solowork,小野坂ゆいか,2026-06-04,https://onejav.com/torrent/hbad734
MKMP725,他人の男を奪いたくて仕方がないヤリマン姉が妹の彼氏をデカ尻誘惑…卑猥なピストンでマン汁まみれになったチ〇ポを躊躇なくフェラしながら濃厚ザーメンを何度も搾り取る禁断の逆NTR 小野坂ゆいか,7.1 GB,https://pics.dmm.co.jp/mono/movie/adult/mkmp725/mkmp725pl.jpg,https://onejav.com/torrent/mkmp725/download/69552330/onejav.com_mkmp725.torrent,"Butt, Creampie, Cuckold, Huge Butt, Slut, Solowork",小野坂ゆいか,2026-05-23,https://onejav.com/torrent/mkmp725
MILK291,ホスト狂いのシンママは奴●気質の貢ぐちゃん。ドMご奉仕勘違い女。 小野坂ゆいか,5.8 GB,https://pics.dmm.co.jp/mono/movie/adult/h_1240milk291/h_1240milk291pl.jpg,https://onejav.com/torrent/milk291/download/01169897/onejav.com_milk291.torrent,"Big Tits, Creampie, Cum, Deep Throating, Married Woman, POV, Solowork",小野坂ゆいか,2026-05-21,https://onejav.com/torrent/milk291
IENF445,経験豊富な優しい素人人妻が最高の童貞筆おろし 25,6.8 GB,https://pics.dmm.co.jp/mono/movie/adult/1ienf445/1ienf445pl.jpg,https://onejav.com/torrent/ienf445/download/14642488/onejav.com_ienf445.torrent,"Big Tits, Creampie, Married Woman, Nampa, Virgin Man","小野坂ゆいか, 小鈴みかん, 黒島玲衣",2026-05-18,https://onejav.com/torrent/ienf445
MXGS1431,夢？現実？仮想空間？ AIでエロ動画を生成していたら、画面から飛び出してエロいプレイと中出しSEXまでできちゃった！ 小野坂ゆいか,4.0 GB,https://pics.dmm.co.jp/mono/movie/adult/h_068mxgs1431/h_068mxgs1431pl.jpg,https://onejav.com/torrent/mxgs1431/download/12340209/onejav.com_mxgs1431.torrent,"AV女優, SF, Solowork",小野坂ゆいか,2026-05-16,https://onejav.com/torrent/mxgs1431
SYKH190,ブーツの美魔女PREMIUM 着衣の流儀 ゆいかさん28歳 小野坂ゆいか,5.1 GB,https://pics.dmm.co.jp/mono/movie/adult/sykh190/sykh190pl.jpg,https://onejav.com/torrent/sykh190/download/03036538/onejav.com_sykh190.torrent,"Creampie, Erotic Wear, Footjob, Leg Fetish, Solowork",小野坂ゆいか,2026-05-16,https://onejav.com/torrent/sykh190
